"epoq Recommendation Service", "epoq Vorschlag-Service"
"General Settings", "Allgemeine Einstellungen"
"Timeout", "Zeitüberschreitung"
"new Version %s ready for Download", "neue Version %s fertig zum Download"
"Demo mode", "Demo Modus"
"send Customer Profiles", "Kundeninformationen senden"
"%d Second", "%d Sekunde"
"%d Seconds", "%d Sekunden"
"Display Recommendations", "Empfehlungen anzeigen"
"Cart", "Warenkorb"
"Productview", "Artikelansicht"
"My Account", "Mein Konto"
"Error Handling", "Fehlerbehandlung"
"enabled", "aktiviert"
"max Attemps", "max. Versuche",
"Idle time", "Wartezeit"
"%d Minutes", "%d Minuten",
"%d Hour", "%d Stunde",
"%d Hours", "%d Stunden",
"Export Settings", "Export Einstellungen"
"Password", "Passwort"
"up to date", "aktuell"
